"ID","Player","Team","Position","Rookie","RkOv","Status","Age","Opponent","Salary","Contract","Score","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*059g1*","Christ Koumadje","(N/A)","C","","1200","FA","30","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*059ik*","David Kramer","(N/A)","PG,G","","1201","FA","29","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*06452*","Tommy Kuhse","(N/A)","PG,SG,G","","1202","FA","28","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*04qsv*","Arnoldas Kulboka","(N/A)","SF,F","","1203","FA","28","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*04qsh*","Rodions Kurucs","(N/A)","SF,PF,F","","1204","FA","28","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*043pn*","Mindaugas Kuzminskas","(N/A)","SF,PF,F","","1205","FA","36","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*03se2*","Michale Kyser","(N/A)","PF,F","","1206","FA","34","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*059y6*","Trevor Lacey","(N/A)","PG,G","","1207","FA","34","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*05qvg*","Anthony Lamb","(N/A)","SF,F","","1208","FA","28","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*02nfc*","Jeremy Lamb","(N/A)","SG,G","","1209","FA","34","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*051ou*","Romeo Langford","(N/A)","SG,G","","1210","FA","26","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*049dw*","Nicolas Laprovittola","(N/A)","PG,G","","1211","FA","36","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*031m5*","Shane Larkin","(N/A)","PG,G","","1212","FA","33","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*04tm1*","Terry Larrier","(N/A)","PF,F","","1213","FA","31","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*031n5*","Joffrey Lauvergne","(N/A)","PF,F,C","","1214","FA","34","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*055sh*","Vic Law","(N/A)","PG,G,SF,F","","1215","FA","30","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*076ub*","Tobi Lawal","DAL","PF,F","R","1216","FA","23","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*059q4*","Dedric Lawson","(N/A)","SF,PF,F","","1217","FA","28","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*042o6*","Jake Layman","(N/A)","SF,F","","1218","FA","32","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*04ewj*","T.J. Leaf","(N/A)","PF,F","","1220","FA","29","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*0524h*","Jalen Lecque","(N/A)","PG,SG,G","","1221","FA","26","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*06psp*","Jaedon LeDee","(N/A)","SF,F","","1219","FA","27","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*0484l*","Damion Lee","(N/A)","SG,G","","1222","FA","33","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*04uwn*","Marcus Lee","(N/A)","C","","1223","FA","31","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*05qu4*","Saben Lee","(N/A)","PG,G","","1224","FA","27","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*04mus*","Walt Lemon Jr.","(N/A)","SF,F","","1225","FA","35","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*031ls*","Alex Len","(N/A)","C","","1226","FA","33","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*02nfb*","Meyers Leonard","(N/A)","C","","1228","FA","34","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*04exd*","Mathias Lessort","(N/A)","PF,F","","1229","FA","30","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*0623f*","Justin Lewis","(N/A)","PF,F","","1230","FA","24","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*05qtc*","Kira Lewis","(N/A)","PG,G","","1231","FA","25","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*05wy5*","Matt Lewis","(N/A)","SG,G","","1233","FA","27","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*06cdg*","Maxwell Lewis","(N/A)","SF,F","","1234","FA","24","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*05uju*","Scottie Lewis","(N/A)","PG,SG,G","","1235","FA","26","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*06h8i*","Scottie Lindsey","(N/A)","SG,G","","1237","FA","30","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*051p5*","Nassir Little","(N/A)","PF,F","","1238","FA","26","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*06235*","Kenneth Lofton","(N/A)","PF,F","","1239","FA","24","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
